# O+CO2(ji)->O+CO2(jf) molscat cross sections, CS8_JMAX100 approx. (written on 04/29/2019);
# E=39240.000000 (1/cm) = 4.86513990571 eV
# ji  jf sigma(ji,jf) (1e-16 cm^2)
  0   0 8.658580e+01
  0   2 6.619870e+00
  0   4 2.332443e+00
  0   6 2.320880e+00
  0   8 1.822543e+00
  0  10 1.334253e+00
  0  12 1.387463e+00
  0  14 1.233550e+00
  0  16 9.739990e-01
  0  18 1.116533e+00
  0  20 9.519887e-01
  0  22 8.411167e-01
  0  24 9.236537e-01
  0  26 8.536607e-01
  0  28 7.356270e-01
  0  30 8.561970e-01
  0  32 6.991217e-01
  0  34 6.862220e-01
  0  36 8.381847e-01
  0  38 6.693630e-01
  0  40 5.923393e-01
  0  42 7.143167e-01
  0  44 6.609343e-01
  0  46 5.424817e-01
  0  48 5.938640e-01
  0  50 5.873093e-01
  0  52 5.320783e-01
  0  54 5.513467e-01
  0  56 5.360310e-01
  0  58 5.318647e-01
  0  60 5.959640e-01
  0  62 5.274933e-01
  0  64 5.446590e-01
  0  66 5.202660e-01
  0  68 5.444187e-01
  0  70 5.259703e-01
  0  72 5.027693e-01
  0  74 4.814840e-01
  0  76 4.727180e-01
  0  78 5.122957e-01
  0  80 4.974223e-01
  0  82 4.402510e-01
  0  84 4.168110e-01
  0  86 4.727970e-01
  0  88 4.807423e-01
  0  90 4.633547e-01
  0  92 4.130823e-01
  0  94 3.893220e-01
  0  96 4.130263e-01
  0  98 4.656183e-01
  0 100 6.563347e-01
  1   1 8.925390e+01
  1   3 5.008543e+00
  1   5 2.348153e+00
  1   7 2.133597e+00
  1   9 1.574710e+00
  1  11 1.342163e+00
  1  13 1.292433e+00
  1  15 1.120603e+00
  1  17 1.022920e+00
  1  19 1.019417e+00
  1  21 8.873067e-01
  1  23 8.992103e-01
  1  25 8.482323e-01
  1  27 7.694947e-01
  1  29 8.027260e-01
  1  31 7.817593e-01
  1  33 7.009653e-01
  1  35 7.624100e-01
  1  37 7.531810e-01
  1  39 6.204147e-01
  1  41 6.866630e-01
  1  43 7.223623e-01
  1  45 6.151993e-01
