# O+CO2(ji)->O+CO2(jf) molscat cross sections, CS8_JMAX100 approx. (written on 04/29/2019);
# E=18240.000000 (1/cm) = 2.26147176045 eV
# ji  jf sigma(ji,jf) (1e-16 cm^2)
  0   0 1.205255e+02
  0   2 9.005893e+00
  0   4 2.867793e+00
  0   6 2.515423e+00
  0   8 1.873570e+00
  0  10 1.495740e+00
  0  12 1.616250e+00
  0  14 1.318993e+00
  0  16 1.087627e+00
  0  18 1.315960e+00
  0  20 1.078607e+00
  0  22 9.404077e-01
  0  24 1.086407e+00
  0  26 8.900730e-01
  0  28 7.862160e-01
  0  30 9.094017e-01
  0  32 8.131783e-01
  0  34 7.329373e-01
  0  36 8.118477e-01
  0  38 7.257517e-01
  0  40 6.689510e-01
  0  42 7.643360e-01
  0  44 7.933807e-01
  0  46 6.466873e-01
  0  48 6.944233e-01
  0  50 6.596380e-01
  0  52 5.805707e-01
  0  54 6.507413e-01
  0  56 6.044557e-01
  0  58 5.329897e-01
  0  60 5.486247e-01
  0  62 5.707753e-01
  0  64 4.723513e-01
  0  66 4.481340e-01
  0  68 4.862517e-01
  0  70 4.752497e-01
  0  72 4.252527e-01
  0  74 4.370033e-01
  0  76 4.259910e-01
  0  78 4.020167e-01
  0  80 4.119723e-01
  0  82 4.010720e-01
  0  84 3.796670e-01
  0  86 3.943967e-01
  0  88 4.007480e-01
  0  90 3.428510e-01
  0  92 3.371180e-01
  0  94 4.457717e-01
  0  96 3.527140e-01
  0  98 3.083757e-01
  0 100 5.408567e-01
  1   1 1.241187e+02
  1   3 6.659757e+00
  1   5 2.769437e+00
  1   7 2.232277e+00
  1   9 1.715123e+00
  1  11 1.513367e+00
  1  13 1.432567e+00
  1  15 1.199757e+00
  1  17 1.183517e+00
  1  19 1.152367e+00
  1  21 9.853023e-01
  1  23 9.838457e-01
  1  25 9.434067e-01
  1  27 8.501530e-01
  1  29 8.760023e-01
  1  31 8.654100e-01
  1  33 7.793337e-01
  1  35 8.169650e-01
  1  37 8.049343e-01
  1  39 6.965347e-01
  1  41 7.228587e-01
  1  43 7.856753e-01
  1  45 7.089273e-01
  1  47 6.357997e-01
  1  49 7.004833e-01
  1  51 6.363403e-01
  1  53 6.003290e-01
  1  55 6.188320e-01
  1  57 5.954563e-01
  1  59 5.587027e-01
  1  61 5.432057e-01
  1  63 5.447500e-01
  1  65 5.140043e-01
  1  67 4.843490e-01
  1  69 4.779183e-01
  1  71 4.723020e-01
  1  73 4.565827e-01
  1  75 4.345297e-01
  1  77 4.382083e-01
  1  79 4.324010e-01
  1  81 4.062760e-01
  1  83 4.107003e-01
  1  85 4.332530e-01
  1  87 3.939843e-01
  1  89 3.649730e-01
  1  91 3.519667e-01
  1  93 4.584187e-01
  1  95 3.680210e-01
  1  97 3.181450e-01
  1  99 5.520183e-01
  2   0 1.801417e+00
  2   2 1.239116e+02
  2   4 6.144073e+00
  2   6 2.511410e+00
  2   8 2.021730e+00
  2  10 1.683530e+00
  2  12 1.468617e+00
  2  14 1.324327e+00
  2  16 1.261713e+00
  2  18 1.143143e+00
  2  20 1.082980e+00
  2  22 1.023040e+00
  2  24 9.453240e-01
  2  26 9.096737e-01
  2  28 8.766930e-01
  2  30 8.070317e-01
  2  32 8.227613e-01
  2  34 7.986767e-01
  2  36 7.173450e-01
  2  38 7.525990e-01
  2  40 7.070540e-01
  2  42 6.968610e-01
  2  44 7.152037e-01
  2  46 6.647593e-01
  2  48 6.324597e-01
  2  50 6.640667e-01
  2  52 6.173450e-01
  2  54 5.879573e-01
  2  56 6.170740e-01
  2  58 5.991763e-01
  2  60 5.555950e-01
  2  62 5.684383e-01
  2  64 5.678933e-01
  2  66 5.266967e-01
  2  68 5.085407e-01
  2  70 5.202957e-01
  2  72 4.556133e-01
  2  74 4.560383e-01
  2  76 4.456027e-01
  2  78 4.564867e-01
  2  80 4.374123e-01
  2  82 4.143040e-01
  2  84 4.057163e-01
  2  86 4.199770e-01
  2  88 4.011330e-01
  2  90 3.488130e-01
  2  92 3.483957e-01
  2  94 4.455160e-01
  2  96 3.667330e-01
  2  98 3.272967e-01
  2 100 5.426130e-01
  3   1 2.854793e+00
  3   3 1.240472e+02
  3   5 5.790983e+00
  3   7 2.361990e+00
  3   9 2.009837e+00
  3  11 1.593687e+00
  3  13 1.342360e+00
  3  15 1.359847e+00
  3  17 1.204353e+00
  3  19 1.042538e+00
  3  21 1.107260e+00
  3  23 1.008057e+00
  3  25 8.840930e-01
  3  27 9.412970e-01
  3  29 8.729103e-01
  3  31 7.807617e-01
  3  33 8.282997e-01
  3  35 7.662673e-01
  3  37 7.057620e-01
  3  39 7.305063e-01
  3  41 7.084720e-01
  3  43 7.090650e-01
  3  45 6.878100e-01
  3  47 6.405297e-01
  3  49 6.447103e-01
  3  51 6.527770e-01
  3  53 6.060277e-01
  3  55 6.049080e-01
  3  57 6.327537e-01
  3  59 6.058153e-01
  3  61 5.638787e-01
  3  63 5.949377e-01
  3  65 5.746543e-01
  3  67 5.314090e-01
  3  69 5.293140e-01
  3  71 5.101310e-01
  3  73 4.734633e-01
  3  75 4.626647e-01
  3  77 4.595243e-01
  3  79 4.599510e-01
  3  81 4.485983e-01
  3  83 4.322013e-01
  3  85 4.402040e-01
  3  87 4.090460e-01
  3  89 3.542320e-01
  3  91 3.606820e-01
  3  93 4.619100e-01
  3  95 3.647913e-01
  3  97 3.209383e-01
  3  99 5.536970e-01
  4   0 3.187800e-01
  4   2 3.414400e+00
  4   4 1.240309e+02
  4   6 5.585867e+00
  4   8 2.348580e+00
  4  10 1.944120e+00
  4  12 1.535273e+00
  4  14 1.350550e+00
  4  16 1.315353e+00
  4  18 1.133717e+00
  4  20 1.047732e+00
  4  22 1.069757e+00
  4  24 9.368783e-01
  4  26 9.025447e-01
  4  28 9.085077e-01
  4  30 8.152773e-01
  4  32 8.028550e-01
  4  34 7.923533e-01
  4  36 7.350837e-01
  4  38 7.303973e-01
  4  40 7.307833e-01
  4  42 6.845757e-01
  4  44 6.912490e-01
  4  46 7.007870e-01
  4  48 6.549930e-01
  4  50 6.399460e-01
  4  52 6.157593e-01
  4  54 6.038023e-01
  4  56 5.968943e-01
  4  58 6.040810e-01
  4  60 5.808823e-01
  4  62 5.797757e-01
  4  64 5.896030e-01
  4  66 5.560927e-01
  4  68 5.412007e-01
  4  70 5.387533e-01
  4  72 5.054800e-01
  4  74 4.714627e-01
  4  76 4.582350e-01
  4  78 4.596093e-01
  4  80 4.450833e-01
  4  82 4.251040e-01
  4  84 4.096437e-01
  4  86 4.323643e-01
  4  88 3.932320e-01
  4  90 3.576440e-01
  4  92 3.602110e-01
  4  94 4.477097e-01
  4  96 3.633697e-01
  4  98 3.108870e-01
  4 100 5.364117e-01
  5   1 7.557527e-01
  5   3 3.686593e+00
  5   5 1.240106e+02
  5   7 5.494557e+00
  5   9 2.304883e+00
  5  11 1.852790e+00
  5  13 1.529190e+00
  5  15 1.342747e+00
  5  17 1.253770e+00
  5  19 1.127847e+00
  5  21 1.062748e+00
  5  23 1.033824e+00
  5  25 9.501247e-01
  5  27 8.968203e-01
  5  29 9.041387e-01
  5  31 8.268497e-01
  5  33 7.653110e-01
  5  35 7.952967e-01
  5  37 7.501000e-01
  5  39 7.146693e-01
  5  41 7.177290e-01
  5  43 7.259300e-01
  5  45 6.957027e-01
  5  47 6.899647e-01
  5  49 6.701337e-01
  5  51 6.056547e-01
  5  53 6.157360e-01
  5  55 6.266790e-01
  5  57 5.768060e-01
  5  59 5.790470e-01
  5  61 6.027517e-01
  5  63 5.825257e-01
  5  65 5.620983e-01
  5  67 5.550533e-01
  5  69 5.336710e-01
  5  71 5.060700e-01
  5  73 4.945570e-01
  5  75 4.775057e-01
  5  77 4.676043e-01
  5  79 4.641873e-01
  5  81 4.559830e-01
  5  83 4.314280e-01
  5  85 4.426170e-01
  5  87 4.110093e-01
  5  89 3.557677e-01
  5  91 3.659770e-01
  5  93 4.651000e-01
  5  95 3.675463e-01
  5  97 3.249713e-01
  5  99 5.537480e-01
  6   0 1.936680e-01
  6   2 9.666743e-01
  6   4 3.868963e+00
  6   6 1.240441e+02
  6   8 5.400110e+00
  6  10 2.235470e+00
  6  12 1.855187e+00
  6  14 1.482253e+00
  6  16 1.287690e+00
  6  18 1.246483e+00
  6  20 1.106617e+00
  6  22 1.016551e+00
  6  24 1.014768e+00
  6  26 9.206620e-01
  6  28 8.655910e-01
  6  30 8.881953e-01
  6  32 7.988767e-01
  6  34 7.553177e-01
  6  36 7.900187e-01
  6  38 7.531190e-01
  6  40 6.972707e-01
  6  42 7.055307e-01
  6  44 7.014160e-01
  6  46 6.956773e-01
  6  48 6.724537e-01
  6  50 6.451370e-01
  6  52 6.285950e-01
  6  54 6.554070e-01
  6  56 6.105903e-01
  6  58 5.672843e-01
  6  60 5.949600e-01
  6  62 5.980317e-01
  6  64 5.525463e-01
  6  66 5.549843e-01
  6  68 5.472773e-01
  6  70 5.296773e-01
  6  72 5.050387e-01
  6  74 4.924300e-01
  6  76 4.766917e-01
  6  78 4.592940e-01
  6  80 4.548920e-01
  6  82 4.468613e-01
  6  84 4.226073e-01
  6  86 4.435773e-01
  6  88 4.136270e-01
  6  90 3.586800e-01
  6  92 3.612420e-01
  6  94 4.551137e-01
  6  96 3.640773e-01
  6  98 3.143277e-01
  6 100 5.403610e-01
  7   1 4.469710e-01
  7   3 1.103301e+00
  7   5 4.031583e+00
  7   7 1.240748e+02
  7   9 5.331120e+00
  7  11 2.225643e+00
  7  13 1.830837e+00
  7  15 1.469830e+00
  7  17 1.274207e+00
  7  19 1.212967e+00
  7  21 1.094151e+00
  7  23 1.010762e+00
  7  25 9.817537e-01
  7  27 9.133913e-01
  7  29 8.859540e-01
  7  31 8.585213e-01
  7  33 7.971510e-01
  7  35 7.797943e-01
  7  37 7.882643e-01
  7  39 7.341650e-01
  7  41 6.961077e-01
  7  43 7.273247e-01
  7  45 7.078810e-01
  7  47 6.693370e-01
  7  49 6.650533e-01
  7  51 6.398207e-01
  7  53 6.422317e-01
  7  55 6.494273e-01
  7  57 5.993340e-01
  7  59 5.808690e-01
  7  61 6.065793e-01
  7  63 5.953263e-01
  7  65 5.561603e-01
  7  67 5.434037e-01
  7  69 5.469163e-01
  7  71 5.159187e-01
  7  73 4.992433e-01
  7  75 4.893867e-01
  7  77 4.808143e-01
  7  79 4.695740e-01
  7  81 4.549867e-01
  7  83 4.451223e-01
  7  85 4.567483e-01
  7  87 4.179117e-01
  7  89 3.695603e-01
  7  91 3.738863e-01
  7  93 4.656820e-01
  7  95 3.682133e-01
  7  97 3.244093e-01
  7  99 5.547130e-01
  8   0 1.103799e-01
  8   2 5.954677e-01
  8   4 1.244750e+00
  8   6 4.132150e+00
  8   8 1.240850e+02
  8  10 5.303213e+00
  8  12 2.204193e+00
  8  14 1.794393e+00
  8  16 1.476067e+00
  8  18 1.250030e+00
  8  20 1.202387e+00
  8  22 1.100627e+00
  8  24 9.840307e-01
  8  26 9.721173e-01
  8  28 9.232110e-01
  8  30 8.482053e-01
  8  32 8.297743e-01
  8  34 7.821157e-01
  8  36 7.700293e-01
  8  38 7.732310e-01
  8  40 7.073303e-01
  8  42 6.804390e-01
  8  44 7.160007e-01
  8  46 6.954877e-01
  8  48 6.403167e-01
  8  50 6.733327e-01
  8  52 6.454437e-01
  8  54 6.110430e-01
  8  56 6.107023e-01
  8  58 5.794783e-01
  8  60 5.743117e-01
  8  62 6.013207e-01
  8  64 5.785173e-01
  8  66 5.493253e-01
  8  68 5.473063e-01
  8  70 5.594420e-01
  8  72 5.163860e-01
  8  74 4.966200e-01
  8  76 4.991993e-01
  8  78 4.739660e-01
  8  80 4.650110e-01
  8  82 4.467543e-01
  8  84 4.310540e-01
  8  86 4.535073e-01
  8  88 4.234033e-01
  8  90 3.661433e-01
  8  92 3.663200e-01
  8  94 4.594270e-01
  8  96 3.646957e-01
  8  98 3.181863e-01
  8 100 5.434487e-01
  9   1 2.713200e-01
  9   3 7.417050e-01
  9   5 1.336120e+00
  9   7 4.211847e+00
  9   9 1.080338e+02
  9  11 4.749497e+00
  9  13 1.899737e+00
