# O+CO2(ji)->O+CO2(jf) molscat cross sections, CS8_JMAX100 approx. (written on 04/29/2019);
# E=31240.000000 (1/cm) = 3.87326632657 eV
# ji  jf sigma(ji,jf) (1e-16 cm^2)
  0   0 9.674643e+01
  0   2 7.207527e+00
  0   4 2.437883e+00
  0   6 2.384487e+00
  0   8 1.813960e+00
  0  10 1.370953e+00
  0  12 1.460053e+00
  0  14 1.266257e+00
  0  16 9.827453e-01
  0  18 1.146720e+00
  0  20 9.542897e-01
  0  22 8.708613e-01
  0  24 9.674580e-01
  0  26 8.827633e-01
  0  28 7.135247e-01
  0  30 8.368263e-01
  0  32 7.185810e-01
  0  34 6.985240e-01
  0  36 7.828947e-01
  0  38 6.630147e-01
  0  40 6.337963e-01
  0  42 7.275170e-01
  0  44 7.002423e-01
  0  46 5.799133e-01
  0  48 6.853030e-01
  0  50 5.813713e-01
  0  52 5.822470e-01
  0  54 5.629210e-01
  0  56 5.987237e-01
  0  58 5.467887e-01
  0  60 5.746397e-01
  0  62 5.861673e-01
  0  64 5.362227e-01
  0  66 5.470143e-01
  0  68 5.147567e-01
  0  70 5.289390e-01
  0  72 4.956347e-01
  0  74 4.560293e-01
  0  76 4.532350e-01
  0  78 4.252283e-01
  0  80 4.584373e-01
  0  82 4.701067e-01
  0  84 3.857583e-01
  0  86 4.440647e-01
  0  88 4.369800e-01
  0  90 4.660733e-01
  0  92 4.568123e-01
  0  94 4.393167e-01
  0  96 3.535120e-01
  0  98 4.310253e-01
  0 100 6.841650e-01
  1   1 9.966603e+01
  1   3 5.452357e+00
  1   5 2.474563e+00
  1   7 2.140710e+00
  1   9 1.565427e+00
  1  11 1.351887e+00
  1  13 1.324330e+00
  1  15 1.105713e+00
  1  17 1.093633e+00
  1  19 1.036993e+00
  1  21 9.215390e-01
  1  23 9.037793e-01
  1  25 9.071203e-01
  1  27 8.055213e-01
  1  29 8.080943e-01
  1  31 7.884217e-01
  1  33 7.036853e-01
  1  35 7.558897e-01
  1  37 7.317093e-01
  1  39 6.336867e-01
  1  41 6.605167e-01
  1  43 7.329513e-01
  1  45 6.250063e-01
  1  47 6.220550e-01
  1  49 6.721887e-01
  1  51 6.335570e-01
  1  53 5.661580e-01
  1  55 6.010197e-01
  1  57 5.879297e-01
  1  59 5.802087e-01
  1  61 5.728523e-01
  1  63 5.904463e-01
  1  65 6.056890e-01
  1  67 5.328733e-01
  1  69 5.253690e-01
  1  71 4.914143e-01
  1  73 5.070207e-01
  1  75 4.550387e-01
  1  77 4.663520e-01
  1  79 4.981590e-01
  1  81 4.688403e-01
  1  83 4.258057e-01
  1  85 4.464430e-01
  1  87 4.231407e-01
  1  89 4.574400e-01
  1  91 4.489890e-01
  1  93 4.235510e-01
  1  95 3.589300e-01
  1  97 4.244673e-01
  1  99 6.791250e-01
  2   0 1.441614e+00
  2   2 9.951187e+01
  2   4 5.074870e+00
  2   6 2.303060e+00
  2   8 1.943027e+00
  2  10 1.585297e+00
  2  12 1.347090e+00
  2  14 1.239257e+00
  2  16 1.163527e+00
  2  18 1.013844e+00
  2  20 1.005752e+00
  2  22 9.324987e-01
  2  24 8.810437e-01
  2  26 8.276007e-01
  2  28 8.344530e-01
  2  30 7.612387e-01
  2  32 7.494600e-01
  2  34 7.476487e-01
  2  36 7.121483e-01
  2  38 7.008360e-01
  2  40 6.646090e-01
  2  42 6.604593e-01
  2  44 6.590573e-01
  2  46 6.106727e-01
  2  48 6.186810e-01
  2  50 6.115307e-01
  2  52 5.891383e-01
  2  54 5.533853e-01
  2  56 5.877763e-01
  2  58 5.792227e-01
  2  60 5.758267e-01
  2  62 5.753363e-01
  2  64 5.754107e-01
  2  66 5.404883e-01
  2  68 5.524530e-01
  2  70 5.542550e-01
  2  72 4.895087e-01
  2  74 5.025327e-01
  2  76 4.964047e-01
  2  78 4.939627e-01
  2  80 4.940987e-01
  2  82 4.792313e-01
  2  84 4.209263e-01
  2  86 4.386503e-01
  2  88 4.259887e-01
  2  90 4.437247e-01
  2  92 4.321047e-01
  2  94 4.066130e-01
  2  96 3.529963e-01
  2  98 4.246293e-01
  2 100 6.598627e-01
  3   1 2.337013e+00
  3   3 9.964757e+01
  3   5 4.853360e+00
  3   7 2.168423e+00
  3   9 1.884610e+00
  3  11 1.521527e+00
  3  13 1.242520e+00
  3  15 1.253297e+00
  3  17 1.139933e+00
  3  19 9.604150e-01
  3  21 1.037045e+00
  3  23 9.473187e-01
  3  25 8.427533e-01
  3  27 8.595020e-01
  3  29 8.219473e-01
  3  31 7.127533e-01
  3  33 7.604670e-01
  3  35 7.204233e-01
  3  37 6.819400e-01
  3  39 6.882233e-01
  3  41 6.498083e-01
  3  43 6.781153e-01
  3  45 6.237480e-01
  3  47 6.341740e-01
  3  49 6.233740e-01
  3  51 6.404400e-01
  3  53 5.522373e-01
  3  55 5.763090e-01
  3  57 5.780930e-01
  3  59 5.587697e-01
  3  61 5.568553e-01
  3  63 5.905007e-01
  3  65 6.032947e-01
  3  67 5.403190e-01
  3  69 5.675297e-01
  3  71 5.149907e-01
  3  73 5.161593e-01
  3  75 4.891647e-01
  3  77 4.890387e-01
  3  79 4.964023e-01
  3  81 4.983540e-01
  3  83 4.545480e-01
  3  85 4.658690e-01
  3  87 4.474657e-01
  3  89 4.722793e-01
  3  91 4.432447e-01
  3  93 4.153110e-01
  3  95 3.635487e-01
  3  97 4.284503e-01
  3  99 6.706057e-01
  4   0 2.709437e-01
  4   2 2.819863e+00
  4   4 9.970757e+01
  4   6 4.675693e+00
  4   8 2.160167e+00
  4  10 1.844610e+00
  4  12 1.453303e+00
  4  14 1.275463e+00
  4  16 1.210493e+00
  4  18 1.078410e+00
  4  20 9.684893e-01
  4  22 9.913343e-01
  4  24 8.540350e-01
  4  26 8.516997e-01
  4  28 8.323170e-01
  4  30 7.706130e-01
  4  32 7.391877e-01
  4  34 7.419363e-01
  4  36 7.232600e-01
  4  38 6.762107e-01
  4  40 6.883100e-01
  4  42 6.343830e-01
  4  44 6.587897e-01
  4  46 6.360573e-01
  4  48 6.155610e-01
  4  50 5.970693e-01
  4  52 6.113577e-01
  4  54 5.604483e-01
  4  56 5.975547e-01
  4  58 5.640680e-01
  4  60 5.482620e-01
  4  62 5.427127e-01
  4  64 5.682560e-01
  4  66 5.748187e-01
  4  68 5.642723e-01
  4  70 5.739720e-01
  4  72 5.173700e-01
  4  74 5.060560e-01
  4  76 4.862680e-01
  4  78 4.851323e-01
  4  80 4.828753e-01
  4  82 4.934633e-01
  4  84 4.352720e-01
  4  86 4.609897e-01
  4  88 4.231533e-01
  4  90 4.665047e-01
  4  92 4.567890e-01
  4  94 4.123413e-01
  4  96 3.519240e-01
  4  98 4.303007e-01
  4 100 6.641583e-01
  5   1 6.751163e-01
  5   3 3.089197e+00
  5   5 9.978677e+01
  5   7 4.613853e+00
  5   9 2.107910e+00
  5  11 1.757500e+00
  5  13 1.448593e+00
  5  15 1.229620e+00
  5  17 1.181867e+00
  5  19 1.050447e+00
  5  21 9.996067e-01
  5  23 9.458770e-01
  5  25 8.818550e-01
  5  27 8.314533e-01
  5  29 8.214743e-01
  5  31 7.888433e-01
  5  33 7.180160e-01
  5  35 7.493800e-01
  5  37 6.902897e-01
  5  39 6.775350e-01
  5  41 6.478953e-01
  5  43 6.670277e-01
  5  45 6.311147e-01
  5  47 6.317193e-01
  5  49 6.372060e-01
  5  51 6.259963e-01
  5  53 5.948157e-01
  5  55 5.989673e-01
  5  57 5.875583e-01
  5  59 5.843477e-01
  5  61 5.625903e-01
  5  63 5.773200e-01
  5  65 5.884363e-01
  5  67 5.760550e-01
  5  69 5.693807e-01
  5  71 5.241877e-01
  5  73 5.270733e-01
  5  75 4.793167e-01
  5  77 4.958290e-01
  5  79 4.905623e-01
  5  81 4.953093e-01
  5  83 4.450403e-01
  5  85 4.637737e-01
  5  87 4.554957e-01
  5  89 4.700103e-01
  5  91 4.477017e-01
  5  93 4.101547e-01
  5  95 3.624830e-01
  5  97 4.368690e-01
  5  99 6.713003e-01
  6   0 1.835187e-01
  6   2 8.861907e-01
  6   4 3.237910e+00
  6   6 9.989597e+01
  6   8 4.526367e+00
  6  10 2.040180e+00
  6  12 1.776647e+00
  6  14 1.404630e+00
  6  16 1.200770e+00
  6  18 1.161897e+00
  6  20 1.047625e+00
  6  22 9.284790e-01
  6  24 9.490983e-01
  6  26 8.654410e-01
  6  28 8.100200e-01
  6  30 8.227843e-01
  6  32 7.537783e-01
  6  34 7.205217e-01
  6  36 7.517250e-01
  6  38 6.869937e-01
  6  40 6.648673e-01
  6  42 6.576573e-01
  6  44 6.513073e-01
  6  46 6.141027e-01
  6  48 6.198750e-01
  6  50 5.949427e-01
  6  52 6.279457e-01
  6  54 6.040793e-01
  6  56 5.953527e-01
  6  58 5.664787e-01
  6  60 5.774170e-01
  6  62 5.427813e-01
  6  64 5.633393e-01
  6  66 5.768303e-01
  6  68 5.681153e-01
  6  70 5.595813e-01
  6  72 5.202100e-01
  6  74 5.202753e-01
  6  76 4.800853e-01
  6  78 5.091697e-01
  6  80 5.059327e-01
  6  82 4.921600e-01
  6  84 4.388040e-01
  6  86 4.636660e-01
  6  88 4.349407e-01
  6  90 4.593973e-01
  6  92 4.522457e-01
  6  94 4.087323e-01
  6  96 3.518397e-01
  6  98 4.274400e-01
  6 100 6.636710e-01
  7   1 4.284320e-01
  7   3 1.012486e+00
  7   5 3.384593e+00
  7   7 9.997950e+01
  7   9 4.472760e+00
  7  11 2.062020e+00
  7  13 1.729877e+00
  7  15 1.392603e+00
  7  17 1.191587e+00
  7  19 1.137990e+00
  7  21 1.037934e+00
  7  23 9.396530e-01
  7  25 9.220940e-01
  7  27 8.450127e-01
  7  29 8.163650e-01
  7  31 7.994650e-01
  7  33 7.580470e-01
  7  35 7.382577e-01
  7  37 7.262177e-01
  7  39 7.017100e-01
  7  41 6.514817e-01
  7  43 6.823670e-01
  7  45 6.413123e-01
  7  47 6.251347e-01
  7  49 6.145210e-01
  7  51 6.422447e-01
  7  53 5.799420e-01
  7  55 6.014213e-01
  7  57 5.802447e-01
  7  59 5.634820e-01
  7  61 5.665363e-01
  7  63 5.785843e-01
  7  65 5.947263e-01
  7  67 5.660673e-01
  7  69 5.764373e-01
  7  71 5.354013e-01
  7  73 5.168790e-01
  7  75 4.826037e-01
  7  77 5.044643e-01
  7  79 5.112997e-01
  7  81 5.050593e-01
  7  83 4.535123e-01
  7  85 4.853440e-01
  7  87 4.496147e-01
  7  89 4.726380e-01
  7  91 4.538097e-01
  7  93 4.091893e-01
  7  95 3.650217e-01
  7  97 4.377693e-01
  7  99 6.724313e-01
  8   0 1.067995e-01
  8   2 5.719493e-01
  8   4 1.144361e+00
  8   6 3.462640e+00
  8   8 9.993293e+01
  8  10 4.455497e+00
  8  12 2.025653e+00
  8  14 1.702870e+00
  8  16 1.382967e+00
  8  18 1.190577e+00
  8  20 1.124790e+00
  8  22 1.040744e+00
  8  24 9.412690e-01
  8  26 9.072843e-01
  8  28 8.400080e-01
  8  30 8.038167e-01
  8  32 7.725687e-01
  8  34 7.386143e-01
  8  36 7.285663e-01
  8  38 6.982870e-01
  8  40 6.875113e-01
  8  42 6.411370e-01
  8  44 6.746033e-01
  8  46 6.392710e-01
  8  48 6.122587e-01
  8  50 6.205597e-01
  8  52 6.353703e-01
  8  54 5.732077e-01
  8  56 5.893640e-01
  8  58 5.692033e-01
  8  60 5.538547e-01
  8  62 5.526187e-01
  8  64 5.738570e-01
  8  66 5.618720e-01
  8  68 5.628800e-01
  8  70 5.856797e-01
  8  72 5.287757e-01
  8  74 5.244487e-01
  8  76 4.933127e-01
  8  78 5.105187e-01
  8  80 4.981760e-01
  8  82 5.007240e-01
  8  84 4.490413e-01
  8  86 4.708113e-01
  8  88 4.417520e-01
  8  90 4.596547e-01
  8  92 4.521763e-01
  8  94 4.121253e-01
  8  96 3.602873e-01
  8  98 4.287047e-01
  8 100 6.644943e-01
  9   1 2.474443e-01
  9   3 6.950070e-01
  9   5 1.221287e+00
  9   7 3.532630e+00
  9   9 8.725427e+01
  9  11 3.981923e+00
  9  13 1.731800e+00
  9  15 1.506480e+00
  9  17 1.196750e+00
  9  19 1.014336e+00
  9  21 1.005798e+00
  9  23 9.097073e-01
  9  25 8.018000e-01
  9  27 8.304820e-01
  9  29 7.452187e-01
  9  31 7.112030e-01
  9  33 6.966677e-01
  9  35 6.858070e-01
  9  37 6.272087e-01
  9  39 6.635430e-01
  9  41 5.990883e-01
  9  43 6.020683e-01
  9  45 6.003743e-01
  9  47 5.663917e-01
  9  49 5.710513e-01
  9  51 5.784733e-01
  9  53 5.464823e-01
  9  55 5.428843e-01
  9  57 5.519020e-01
  9  59 5.152637e-01
  9  61 5.180090e-01
  9  63 5.497627e-01
  9  65 5.377817e-01
  9  67 5.091183e-01
  9  69 5.407703e-01
  9  71 5.067187e-01
  9  73 4.933840e-01
  9  75 4.621447e-01
  9  77 4.815357e-01
  9  79 4.616310e-01
  9  81 4.594423e-01
  9  83 4.235923e-01
  9  85 4.539220e-01
  9  87 4.228733e-01
  9  89 4.389127e-01
  9  91 4.203773e-01
  9  93 3.926987e-01
  9  95 3.427037e-01
  9  97 3.970890e-01
  9  99 6.119667e-01
 10   0 6.537337e-02
 10   2 3.779423e-01
 10   4 7.914370e-01
 10   6 1.264047e+00
 10   8 3.608547e+00
 10  10 7.781147e+01
 10  12 3.638477e+00
 10  14 1.564203e+00
 10  16 1.362550e+00
 10  18 1.065596e+00
 10  20 9.227483e-01
 10  22 8.904150e-01
 10  24 7.973880e-01
 10  26 7.178203e-01
 10  28 7.309813e-01
 10  30 6.796140e-01
 10  32 6.218067e-01
 10  34 6.299180e-01
 10  36 6.102070e-01
 10  38 5.460763e-01
 10  40 5.703857e-01
 10  42 5.253643e-01
 10  44 5.363957e-01
 10  46 5.191870e-01
 10  48 4.896760e-01
 10  50 5.147940e-01
 10  52 5.298130e-01
 10  54 4.738870e-01
 10  56 4.861963e-01
 10  58 4.773340e-01
 10  60 4.564330e-01
 10  62 4.543260e-01
 10  64 4.706697e-01
 10  66 4.628670e-01
 10  68 4.509317e-01
 10  70 4.757427e-01
 10  72 4.382623e-01
 10  74 4.437100e-01
 10  76 4.110153e-01
 10  78 4.095373e-01
 10  80 3.970480e-01
 10  82 4.037463e-01
 10  84 3.754300e-01
 10  86 3.950070e-01
 10  88 3.560827e-01
 10  90 3.671533e-01
 10  92 3.555207e-01
 10  94 3.317250e-01
 10  96 2.982103e-01
 10  98 3.412013e-01
 10 100 4.916433e-01
 11   1 1.766193e-01
 11   3 4.637680e-01
 11   5 8.416160e-01
 11   7 1.346077e+00
 11   9 3.291143e+00
 11  11 7.031147e+01
 11  13 3.370023e+00
 11  15 1.426040e+00
 11  17 1.207457e+00
 11  19 9.865290e-01
 11  21 8.200313e-01
 11  23 8.044157e-01
 11  25 7.316020e-01
 11  27 6.618180e-01
 11  29 6.598053e-01
 11  31 6.017770e-01
 11  33 5.654940e-01
 11  35 5.731370e-01
 11  37 5.308810e-01
 11  39 5.191950e-01
 11  41 5.205620e-01
 11  43 5.006523e-01
 11  45 4.840733e-01
 11  47 4.829397e-01
 11  49 4.622650e-01
 11  51 4.582517e-01
 11  53 4.474250e-01
 11  55 4.538230e-01
 11  57 4.472783e-01
 11  59 4.312167e-01
 11  61 4.353833e-01
 11  63 4.285633e-01
 11  65 4.487983e-01
 11  67 4.389360e-01
 11  69 4.399457e-01
 11  71 3.991973e-01
 11  73 4.025180e-01
 11  75 3.748550e-01
 11  77 3.838250e-01
 11  79 3.652297e-01
 11  81 3.707090e-01
 11  83 3.361207e-01
 11  85 3.625600e-01
 11  87 3.373357e-01
 11  89 3.427830e-01
 11  91 3.253040e-01
 11  93 3.055780e-01
 11  95 2.618063e-01
 11  97 3.181130e-01
 11  99 4.240023e-01
 12   0 5.851603e-02
 12   2 2.699237e-01
 12   4 5.240807e-01
 12   6 9.251733e-01
 12   8 1.378893e+00
 12  10 3.058077e+00
 12  12 6.416983e+01
 12  14 3.122367e+00
 12  16 1.259467e+00
 12  18 1.128677e+00
