# O+CO2(ji)->O+CO2(jf) molscat cross sections, CS8_JMAX100 approx. (written on 04/29/2019);
# E=40240.000000 (1/cm) = 4.98912410311 eV
# ji  jf sigma(ji,jf) (1e-16 cm^2)
  0   0 8.544780e+01
  0   2 6.560503e+00
  0   4 2.321123e+00
  0   6 2.318597e+00
  0   8 1.811313e+00
  0  10 1.323960e+00
  0  12 1.377863e+00
  0  14 1.253983e+00
  0  16 9.733910e-01
  0  18 1.095680e+00
  0  20 9.643377e-01
  0  22 8.392190e-01
  0  24 9.214337e-01
  0  26 8.458593e-01
  0  28 7.532093e-01
  0  30 8.408877e-01
  0  32 6.988500e-01
  0  34 6.679000e-01
  0  36 8.458060e-01
  0  38 6.765090e-01
  0  40 5.984223e-01
  0  42 7.202987e-01
  0  44 6.463110e-01
  0  46 5.478843e-01
  0  48 5.855650e-01
  0  50 5.846577e-01
  0  52 5.169833e-01
  0  54 5.480513e-01
  0  56 5.358480e-01
  0  58 5.382193e-01
  0  60 5.974230e-01
  0  62 5.157300e-01
  0  64 5.397320e-01
  0  66 5.227140e-01
  0  68 5.349310e-01
  0  70 5.294693e-01
  0  72 5.020493e-01
  0  74 4.978790e-01
  0  76 4.850347e-01
  0  78 5.008160e-01
  0  80 5.009760e-01
  0  82 4.328817e-01
  0  84 4.281190e-01
  0  86 4.758477e-01
  0  88 4.825170e-01
  0  90 4.558123e-01
  0  92 4.074633e-01
  0  94 3.880367e-01
  0  96 4.215357e-01
  0  98 4.571517e-01
  0 100 6.678067e-01
  1   1 8.815203e+01
  1   3 4.984580e+00
  1   5 2.354950e+00
  1   7 2.111197e+00
  1   9 1.551843e+00
  1  11 1.320053e+00
  1  13 1.296107e+00
  1  15 1.121776e+00
  1  17 1.023191e+00
  1  19 1.012640e+00
  1  21 8.981867e-01
  1  23 8.940577e-01
  1  25 8.435320e-01
  1  27 7.725083e-01
  1  29 7.928363e-01
  1  31 7.777917e-01
  1  33 7.069707e-01
  1  35 7.721187e-01
  1  37 7.545723e-01
  1  39 6.186033e-01
  1  41 6.834390e-01
  1  43 7.236983e-01
  1  45 6.133697e-01
  1  47 5.840103e-01
  1  49 6.178627e-01
