# O+CO2(ji)->O+CO2(jf) molscat cross sections, CS8_JMAX100 approx. (written on 04/29/2019);
# E=8240.000000 (1/cm) = 1.02162978652 eV
# ji  jf sigma(ji,jf) (1e-16 cm^2)
  0   0 1.453770e+02
  0   2 1.326606e+01
  0   4 3.973540e+00
  0   6 3.084023e+00
  0   8 2.426163e+00
  0  10 1.713137e+00
  0  12 1.942137e+00
  0  14 1.682670e+00
  0  16 1.258103e+00
  0  18 1.414870e+00
  0  20 1.370183e+00
  0  22 1.127994e+00
  0  24 1.160390e+00
  0  26 1.049307e+00
  0  28 9.739187e-01
  0  30 1.026725e+00
  0  32 8.215207e-01
  0  34 7.394857e-01
  0  36 9.180887e-01
  0  38 7.860750e-01
  0  40 6.127797e-01
  0  42 7.277560e-01
  0  44 7.017833e-01
  0  46 5.411223e-01
  0  48 5.565137e-01
  0  50 5.954500e-01
  0  52 5.105183e-01
  0  54 4.942580e-01
  0  56 4.955563e-01
  0  58 4.650673e-01
  0  60 4.320723e-01
  0  62 4.469067e-01
  0  64 4.107083e-01
  0  66 3.899413e-01
  0  68 3.848343e-01
  0  70 3.757187e-01
  0  72 3.560560e-01
  0  74 3.337900e-01
  0  76 3.170220e-01
  0  78 3.243433e-01
  0  80 3.316113e-01
  0  82 2.930370e-01
  0  84 2.730460e-01
  0  86 2.847430e-01
  0  88 2.758730e-01
  0  90 2.510597e-01
  0  92 2.681920e-01
  0  94 2.491857e-01
  0  96 2.720963e-01
  0  98 2.693227e-01
  0 100 2.151987e-01
  1   1 1.507257e+02
  1   3 9.589473e+00
  1   5 3.556017e+00
  1   7 2.793447e+00
  1   9 2.088323e+00
  1  11 1.788077e+00
  1  13 1.824373e+00
  1  15 1.506490e+00
  1  17 1.360227e+00
  1  19 1.340273e+00
  1  21 1.265510e+00
  1  23 1.161703e+00
  1  25 1.117333e+00
  1  27 1.038654e+00
  1  29 9.798817e-01
  1  31 9.443143e-01
  1  33 8.074810e-01
  1  35 7.938383e-01
  1  37 8.626247e-01
  1  39 7.517320e-01
  1  41 6.853723e-01
  1  43 7.340687e-01
  1  45 6.658497e-01
  1  47 5.708000e-01
  1  49 5.934293e-01
  1  51 5.640133e-01
  1  53 5.079553e-01
  1  55 5.067333e-01
  1  57 5.038707e-01
  1  59 4.497453e-01
  1  61 4.405043e-01
  1  63 4.484783e-01
  1  65 4.198560e-01
  1  67 3.962420e-01
  1  69 3.904727e-01
  1  71 3.839493e-01
  1  73 3.419313e-01
  1  75 3.230120e-01
  1  77 3.256560e-01
  1  79 3.263290e-01
  1  81 3.016820e-01
  1  83 2.832210e-01
  1  85 2.975373e-01
  1  87 2.804893e-01
  1  89 2.617627e-01
  1  91 2.811747e-01
  1  93 2.507433e-01
  1  95 2.777797e-01
  1  97 2.724247e-01
  1  99 2.277090e-01
  2   0 2.653967e+00
  2   2 1.501969e+02
  2   4 8.545727e+00
  2   6 3.302457e+00
  2   8 2.448943e+00
  2  10 2.032977e+00
  2  12 1.799690e+00
  2  14 1.645313e+00
  2  16 1.557193e+00
  2  18 1.312130e+00
  2  20 1.298157e+00
  2  22 1.255233e+00
  2  24 1.119582e+00
  2  26 1.103770e+00
  2  28 1.057367e+00
  2  30 9.358840e-01
  2  32 8.979150e-01
  2  34 8.730300e-01
  2  36 8.323947e-01
  2  38 7.939967e-01
  2  40 7.591500e-01
  2  42 6.893977e-01
  2  44 7.146143e-01
  2  46 6.545523e-01
  2  48 5.710710e-01
  2  50 5.802400e-01
  2  52 5.815250e-01
  2  54 5.286640e-01
  2  56 5.046557e-01
  2  58 5.134510e-01
  2  60 4.731067e-01
