# O+CO2(ji)->O+CO2(jf) molscat cross sections, CS8_JMAX100 approx. (written on 04/29/2019);
# E=24240.000000 (1/cm) = 3.00537694481 eV
# ji  jf sigma(ji,jf) (1e-16 cm^2)
  0   0 1.080396e+02
  0   2 7.986913e+00
  0   4 2.620703e+00
  0   6 2.438880e+00
  0   8 1.806097e+00
  0  10 1.404297e+00
  0  12 1.526077e+00
  0  14 1.255497e+00
  0  16 1.015215e+00
  0  18 1.238387e+00
  0  20 1.026297e+00
  0  22 9.250293e-01
  0  24 9.957030e-01
  0  26 8.839673e-01
  0  28 7.364370e-01
  0  30 8.781460e-01
  0  32 7.530147e-01
  0  34 7.194373e-01
  0  36 7.911817e-01
  0  38 6.657710e-01
  0  40 6.471420e-01
  0  42 7.235497e-01
  0  44 7.176203e-01
  0  46 6.248383e-01
  0  48 6.428340e-01
  0  50 6.449780e-01
  0  52 6.028830e-01
  0  54 6.425983e-01
  0  56 6.175637e-01
  0  58 6.132410e-01
  0  60 5.817007e-01
  0  62 5.957193e-01
  0  64 5.096453e-01
  0  66 4.825973e-01
  0  68 4.982577e-01
  0  70 5.007703e-01
  0  72 4.757110e-01
  0  74 4.914867e-01
  0  76 4.230220e-01
  0  78 4.277043e-01
  0  80 3.948113e-01
  0  82 4.379970e-01
  0  84 4.052737e-01
  0  86 4.196693e-01
  0  88 4.400117e-01
  0  90 4.066170e-01
  0  92 4.217027e-01
  0  94 4.427787e-01
  0  96 3.357223e-01
  0  98 3.687837e-01
  0 100 6.158010e-01
  1   1 1.112420e+02
  1   3 5.954337e+00
  1   5 2.595880e+00
  1   7 2.159740e+00
  1   9 1.617467e+00
  1  11 1.439230e+00
  1  13 1.357253e+00
  1  15 1.129735e+00
  1  17 1.125137e+00
  1  19 1.112907e+00
  1  21 9.585320e-01
  1  23 9.409533e-01
  1  25 9.108307e-01
  1  27 8.339027e-01
  1  29 8.319023e-01
  1  31 8.142720e-01
  1  33 7.197393e-01
  1  35 7.679977e-01
  1  37 7.410690e-01
  1  39 6.515843e-01
  1  41 6.783010e-01
  1  43 7.522550e-01
  1  45 6.903630e-01
  1  47 6.237233e-01
  1  49 7.040250e-01
  1  51 6.421567e-01
  1  53 5.881527e-01
  1  55 6.017823e-01
  1  57 6.232417e-01
  1  59 5.751847e-01
  1  61 6.021173e-01
  1  63 5.655270e-01
  1  65 5.662343e-01
  1  67 5.038853e-01
  1  69 4.975180e-01
  1  71 4.997610e-01
  1  73 5.024560e-01
  1  75 4.437900e-01
  1  77 4.437747e-01
  1  79 4.307227e-01
  1  81 4.784803e-01
  1  83 4.483227e-01
  1  85 4.520947e-01
  1  87 3.995887e-01
  1  89 3.915057e-01
  1  91 4.384097e-01
  1  93 4.531663e-01
  1  95 3.467457e-01
  1  97 3.896593e-01
  1  99 6.318153e-01
  2   0 1.597537e+00
  2   2 1.110774e+02
  2   4 5.532193e+00
  2   6 2.388917e+00
  2   8 1.962197e+00
  2  10 1.615083e+00
  2  12 1.406000e+00
  2  14 1.256997e+00
  2  16 1.207103e+00
  2  18 1.075259e+00
  2  20 1.039125e+00
  2  22 9.779137e-01
  2  24 9.129670e-01
  2  26 8.507327e-01
  2  28 8.491100e-01
  2  30 7.796743e-01
  2  32 7.701390e-01
  2  34 7.589083e-01
  2  36 7.105030e-01
  2  38 7.171323e-01
  2  40 6.767060e-01
  2  42 6.674917e-01
  2  44 6.762917e-01
  2  46 6.390503e-01
  2  48 6.242230e-01
  2  50 6.442377e-01
  2  52 5.916600e-01
  2  54 5.661933e-01
  2  56 5.943447e-01
  2  58 5.978030e-01
  2  60 5.666623e-01
  2  62 6.124633e-01
  2  64 5.883933e-01
  2  66 5.510193e-01
  2  68 5.277287e-01
  2  70 5.384763e-01
  2  72 4.837763e-01
  2  74 4.921553e-01
  2  76 4.732973e-01
  2  78 4.773903e-01
  2  80 4.364817e-01
  2  82 4.703633e-01
  2  84 4.365337e-01
  2  86 4.415000e-01
  2  88 4.075073e-01
  2  90 3.939790e-01
  2  92 4.293710e-01
  2  94 4.479140e-01
  2  96 3.500783e-01
  2  98 3.834433e-01
  2 100 6.182833e-01
  3   1 2.552273e+00
  3   3 1.112719e+02
  3   5 5.239930e+00
  3   7 2.234537e+00
  3   9 1.929493e+00
  3  11 1.557343e+00
  3  13 1.271263e+00
  3  15 1.310730e+00
  3  17 1.171763e+00
  3  19 9.982130e-01
  3  21 1.062088e+00
  3  23 9.726653e-01
  3  25 8.455553e-01
  3  27 8.892900e-01
  3  29 8.387590e-01
  3  31 7.398233e-01
  3  33 7.783503e-01
  3  35 7.341513e-01
  3  37 6.889427e-01
  3  39 6.917377e-01
  3  41 6.750967e-01
  3  43 6.754620e-01
  3  45 6.564737e-01
  3  47 6.217767e-01
  3  49 6.674990e-01
  3  51 6.349170e-01
  3  53 5.841283e-01
  3  55 5.916800e-01
  3  57 6.255380e-01
  3  59 5.764000e-01
  3  61 5.955917e-01
  3  63 5.992233e-01
  3  65 5.989240e-01
  3  67 5.268713e-01
  3  69 5.539690e-01
  3  71 5.228113e-01
  3  73 5.140827e-01
  3  75 4.725650e-01
  3  77 4.747383e-01
  3  79 4.432937e-01
  3  81 5.062307e-01
  3  83 4.705610e-01
  3  85 4.533933e-01
  3  87 4.179753e-01
  3  89 4.063823e-01
  3  91 4.427397e-01
  3  93 4.585500e-01
  3  95 3.534080e-01
  3  97 3.923213e-01
  3  99 6.311370e-01
  4   0 2.912833e-01
  4   2 3.074137e+00
  4   4 1.113032e+02
  4   6 5.059610e+00
  4   8 2.233827e+00
  4  10 1.876900e+00
  4  12 1.487393e+00
  4  14 1.292367e+00
  4  16 1.264937e+00
  4  18 1.099057e+00
  4  20 9.946457e-01
  4  22 1.006092e+00
  4  24 8.842710e-01
  4  26 8.630367e-01
  4  28 8.611237e-01
  4  30 7.988350e-01
  4  32 7.747650e-01
  4  34 7.683817e-01
  4  36 7.273190e-01
  4  38 7.104960e-01
  4  40 7.005500e-01
  4  42 6.435260e-01
  4  44 6.593237e-01
  4  46 6.617413e-01
  4  48 6.210683e-01
  4  50 6.305770e-01
  4  52 6.001930e-01
  4  54 5.936600e-01
  4  56 5.808370e-01
  4  58 5.995730e-01
  4  60 5.606787e-01
  4  62 5.894657e-01
  4  64 5.744093e-01
  4  66 5.742173e-01
  4  68 5.505890e-01
  4  70 5.664697e-01
  4  72 5.259883e-01
  4  74 5.195907e-01
  4  76 4.727273e-01
  4  78 4.758100e-01
  4  80 4.476120e-01
  4  82 4.794710e-01
  4  84 4.593457e-01
  4  86 4.541000e-01
  4  88 4.028140e-01
  4  90 3.973257e-01
  4  92 4.348767e-01
  4  94 4.478407e-01
  4  96 3.430450e-01
  4  98 3.792707e-01
  4 100 6.228427e-01
  5   1 7.082870e-01
  5   3 3.335467e+00
  5   5 1.113116e+02
  5   7 4.990247e+00
  5   9 2.182690e+00
  5  11 1.807637e+00
  5  13 1.469013e+00
  5  15 1.296410e+00
  5  17 1.208227e+00
  5  19 1.091278e+00
  5  21 1.016741e+00
  5  23 9.893423e-01
  5  25 8.932833e-01
  5  27 8.604990e-01
  5  29 8.433877e-01
  5  31 7.949303e-01
  5  33 7.354957e-01
  5  35 7.629857e-01
  5  37 7.148253e-01
  5  39 6.747917e-01
  5  41 6.710447e-01
  5  43 6.748193e-01
  5  45 6.721673e-01
  5  47 6.429300e-01
  5  49 6.835010e-01
  5  51 6.241200e-01
  5  53 6.180683e-01
  5  55 6.089340e-01
  5  57 5.993327e-01
  5  59 5.822137e-01
  5  61 6.114030e-01
  5  63 5.764497e-01
  5  65 5.967237e-01
  5  67 5.523367e-01
  5  69 5.509780e-01
  5  71 5.307467e-01
  5  73 5.327257e-01
  5  75 4.833060e-01
  5  77 4.713723e-01
  5  79 4.524180e-01
  5  81 4.971923e-01
  5  83 4.636980e-01
  5  85 4.490790e-01
  5  87 4.122230e-01
  5  89 4.108537e-01
  5  91 4.512907e-01
  5  93 4.505003e-01
  5  95 3.513857e-01
  5  97 3.948077e-01
  5  99 6.306027e-01
  6   0 1.877327e-01
  6   2 9.193457e-01
  6   4 3.504047e+00
  6   6 1.113788e+02
  6   8 4.899477e+00
  6  10 2.113380e+00
  6  12 1.806633e+00
  6  14 1.428840e+00
  6  16 1.237563e+00
  6  18 1.192863e+00
  6  20 1.070653e+00
  6  22 9.570180e-01
  6  24 9.653933e-01
  6  26 8.821497e-01
  6  28 8.366957e-01
  6  30 8.445643e-01
  6  32 7.737887e-01
  6  34 7.288240e-01
  6  36 7.805393e-01
  6  38 7.182680e-01
  6  40 6.693357e-01
  6  42 6.692923e-01
  6  44 6.690147e-01
  6  46 6.573767e-01
  6  48 6.330963e-01
  6  50 6.327947e-01
  6  52 6.194400e-01
  6  54 6.340013e-01
  6  56 5.932973e-01
  6  58 5.850603e-01
  6  60 5.855427e-01
  6  62 5.924620e-01
  6  64 5.526283e-01
  6  66 5.719897e-01
  6  68 5.572810e-01
  6  70 5.610187e-01
  6  72 5.325137e-01
  6  74 5.177190e-01
  6  76 4.699847e-01
  6  78 4.839883e-01
  6  80 4.694753e-01
  6  82 4.948740e-01
  6  84 4.532753e-01
  6  86 4.613763e-01
  6  88 4.113647e-01
  6  90 3.941273e-01
  6  92 4.425240e-01
  6  94 4.511530e-01
  6  96 3.466290e-01
  6  98 3.831170e-01
  6 100 6.214443e-01
  7   1 4.323233e-01
  7   3 1.043522e+00
  7   5 3.661047e+00
  7   7 1.114237e+02
  7   9 4.837760e+00
  7  11 2.121127e+00
  7  13 1.770150e+00
  7  15 1.424950e+00
  7  17 1.216653e+00
  7  19 1.172877e+00
  7  21 1.064324e+00
  7  23 9.636120e-01
  7  25 9.357230e-01
  7  27 8.700293e-01
  7  29 8.448443e-01
  7  31 8.110003e-01
  7  33 7.811963e-01
  7  35 7.525393e-01
  7  37 7.572513e-01
  7  39 6.999183e-01
  7  41 6.671577e-01
  7  43 6.970487e-01
  7  45 6.658673e-01
  7  47 6.268237e-01
  7  49 6.549823e-01
  7  51 6.331527e-01
  7  53 6.313967e-01
  7  55 6.166933e-01
  7  57 6.098020e-01
  7  59 5.766103e-01
  7  61 6.049300e-01
  7  63 5.842713e-01
  7  65 5.733343e-01
  7  67 5.438637e-01
  7  69 5.702353e-01
  7  71 5.427903e-01
  7  73 5.313783e-01
