# O+CO2(ji)->O+CO2(jf) molscat cross sections, CS8_JMAX100 approx. (written on 04/29/2019);
# E=19240.000000 (1/cm) = 2.38545595785 eV
# ji  jf sigma(ji,jf) (1e-16 cm^2)
  0   0 1.182580e+02
  0   2 8.797393e+00
  0   4 2.818043e+00
  0   6 2.514937e+00
  0   8 1.856030e+00
  0  10 1.474577e+00
  0  12 1.589473e+00
  0  14 1.303600e+00
  0  16 1.077693e+00
  0  18 1.310513e+00
  0  20 1.072844e+00
  0  22 9.421593e-01
  0  24 1.061584e+00
  0  26 8.699570e-01
  0  28 7.750373e-01
  0  30 9.034887e-01
  0  32 7.986767e-01
  0  34 7.175447e-01
  0  36 8.150373e-01
  0  38 7.104137e-01
  0  40 6.764610e-01
  0  42 7.555930e-01
  0  44 7.850410e-01
  0  46 6.387230e-01
  0  48 6.951787e-01
  0  50 6.641180e-01
  0  52 5.925570e-01
  0  54 6.460907e-01
  0  56 6.073627e-01
  0  58 5.489040e-01
  0  60 5.479697e-01
  0  62 5.628680e-01
  0  64 4.740763e-01
  0  66 4.554770e-01
  0  68 4.847477e-01
  0  70 4.919507e-01
  0  72 4.342283e-01
  0  74 4.438997e-01
  0  76 4.310783e-01
  0  78 3.996080e-01
  0  80 4.177997e-01
  0  82 4.082717e-01
  0  84 3.902520e-01
  0  86 4.007650e-01
  0  88 4.069533e-01
  0  90 3.484387e-01
  0  92 3.536923e-01
  0  94 4.421387e-01
  0  96 3.503627e-01
  0  98 3.243633e-01
  0 100 5.532577e-01
  1   1 1.217465e+02
  1   3 6.522343e+00
  1   5 2.731317e+00
  1   7 2.211893e+00
  1   9 1.695253e+00
  1  11 1.502390e+00
  1  13 1.419850e+00
  1  15 1.180923e+00
  1  17 1.173493e+00
  1  19 1.145087e+00
  1  21 9.699070e-01
  1  23 9.764280e-01
  1  25 9.482687e-01
  1  27 8.517800e-01
  1  29 8.596463e-01
  1  31 8.470490e-01
  1  33 7.636353e-01
  1  35 8.060630e-01
  1  37 7.881497e-01
  1  39 6.906567e-01
  1  41 7.235243e-01
  1  43 7.738180e-01
  1  45 6.968627e-01
  1  47 6.288417e-01
  1  49 7.029507e-01
  1  51 6.460753e-01
  1  53 6.021437e-01
  1  55 6.166850e-01
  1  57 5.972120e-01
  1  59 5.697123e-01
  1  61 5.498633e-01
  1  63 5.629847e-01
  1  65 5.248487e-01
  1  67 4.937500e-01
  1  69 4.816053e-01
  1  71 4.683400e-01
  1  73 4.723707e-01
  1  75 4.368417e-01
