# O+CO2(ji)->O+CO2(jf) molscat cross sections, CS8_JMAX100 approx. (written on 04/29/2019);
# E=1240.000000 (1/cm) = 0.153740404768 eV
# ji  jf sigma(ji,jf) (1e-16 cm^2)
  0   0 2.188513e+02
  0   2 2.532750e+01
  0   4 9.307890e+00
  0   6 6.424707e+00
  0   8 4.799077e+00
  0  10 3.093547e+00
  0  12 2.700963e+00
  0  14 2.609697e+00
  0  16 2.100680e+00
  0  18 1.988330e+00
  0  20 1.838243e+00
  0  22 1.581467e+00
  0  24 1.563983e+00
  0  26 1.419733e+00
  0  28 1.050888e+00
  0  30 1.191620e+00
  0  32 1.100102e+00
  0  34 8.225767e-01
  0  36 6.470840e-01
  0  38 6.614690e-01
  0  40 6.363957e-01
  0  42 4.973917e-01
  0  44 4.084267e-01
  0  46 3.762007e-01
  0  48 2.821670e-01
  0  50 1.909696e-01
  0  52 1.483380e-01
  0  54 1.113882e-01
  1   1 2.292400e+02
  1   3 1.918687e+01
  1   5 8.391380e+00
  1   7 5.826560e+00
  1   9 4.076427e+00
  1  11 2.857207e+00
  1  13 2.620847e+00
  1  15 2.398670e+00
  1  17 1.996653e+00
  1  19 1.870863e+00
  1  21 1.715133e+00
  1  23 1.558557e+00
  1  25 1.478120e+00
  1  27 1.225993e+00
  1  29 1.063237e+00
  1  31 1.086890e+00
  1  33 9.117160e-01
  1  35 7.588370e-01
  1  37 6.646120e-01
  1  39 6.311713e-01
  1  41 5.498060e-01
  1  43 4.582623e-01
  1  45 4.030237e-01
  1  47 3.233227e-01
  1  49 2.282280e-01
  1  51 1.683095e-01
  1  53 1.331226e-01
  1  55 7.689039e-02
  2   0 5.075080e+00
  2   2 2.294833e+02
  2   4 1.748480e+01
  2   6 7.826890e+00
  2   8 5.163447e+00
  2  10 3.773763e+00
  2  12 2.782720e+00
  2  14 2.494763e+00
  2  16 2.248347e+00
  2  18 1.883690e+00
  2  20 1.748150e+00
  2  22 1.637113e+00
  2  24 1.472117e+00
  2  26 1.310210e+00
  2  28 1.163097e+00
  2  30 1.025850e+00
  2  32 9.103960e-01
  2  34 8.307220e-01
  2  36 7.562657e-01
  2  38 6.396130e-01
  2  40 5.631953e-01
  2  42 5.102077e-01
  2  44 4.569957e-01
  2  46 3.622713e-01
  2  48 2.627933e-01
  2  50 1.979507e-01
  2  52 1.590585e-01
  2  54 1.112379e-01
  3   1 8.248920e+00
  3   3 2.303183e+02
  3   5 1.642783e+01
  3   7 7.005050e+00
  3   9 4.862610e+00
  3  11 3.632650e+00
  3  13 2.689247e+00
  3  15 2.408827e+00
  3  17 2.099850e+00
  3  19 1.799380e+00
  3  21 1.690693e+00
  3  23 1.532060e+00
  3  25 1.335367e+00
  3  27 1.233353e+00
  3  29 1.143273e+00
  3  31 9.451167e-01
  3  33 8.411770e-01
  3  35 8.047740e-01
  3  37 7.094900e-01
  3  39 5.898683e-01
  3  41 5.402120e-01
  3  43 5.046143e-01
  3  45 4.184420e-01
  3  47 3.018577e-01
  3  49 2.240003e-01
  3  51 1.817615e-01
  3  53 1.378695e-01
  3  55 7.833126e-02
  4   0 1.040760e+00
  4   2 9.756823e+00
  4   4 2.307400e+02
  4   6 1.518937e+01
  4   8 6.693933e+00
  4  10 4.702700e+00
  4  12 3.439413e+00
  4  14 2.663267e+00
  4  16 2.307903e+00
  4  18 2.020283e+00
  4  20 1.798530e+00
  4  22 1.622013e+00
  4  24 1.427470e+00
  4  26 1.291130e+00
  4  28 1.217403e+00
  4  30 1.083333e+00
  4  32 9.074300e-01
  4  34 8.273500e-01
  4  36 7.571533e-01
  4  38 6.585110e-01
  4  40 5.747120e-01
  4  42 5.313267e-01
  4  44 4.696900e-01
  4  46 3.657433e-01
  4  48 2.630593e-01
  4  50 2.043221e-01
  4  52 1.641360e-01
  4  54 1.159533e-01
  5   1 2.308920e+00
  5   3 1.051384e+01
  5   5 2.309037e+02
  5   7 1.465833e+01
  5   9 6.507323e+00
  5  11 4.398393e+00
  5  13 3.347470e+00
  5  15 2.582093e+00
  5  17 2.249573e+00
  5  19 2.015327e+00
  5  21 1.736080e+00
  5  23 1.566927e+00
  5  25 1.420597e+00
  5  27 1.270000e+00
