# O+CO2(ji)->O+CO2(jf) molscat cross sections, CS8_JMAX100 approx. (written on 04/29/2019);
# E=34240.000000 (1/cm) = 4.24521891875 eV
# ji  jf sigma(ji,jf) (1e-16 cm^2)
  0   0 9.269523e+01
  0   2 6.942913e+00
  0   4 2.400557e+00
  0   6 2.347190e+00
  0   8 1.806430e+00
  0  10 1.334687e+00
  0  12 1.436100e+00
  0  14 1.249920e+00
  0  16 9.743003e-01
  0  18 1.147527e+00
  0  20 9.292777e-01
  0  22 8.652697e-01
  0  24 9.238710e-01
  0  26 8.815293e-01
  0  28 7.017637e-01
  0  30 8.442197e-01
  0  32 7.071487e-01
  0  34 7.375820e-01
  0  36 8.010343e-01
  0  38 6.616270e-01
  0  40 5.960763e-01
  0  42 7.336870e-01
  0  44 6.880387e-01
  0  46 5.691593e-01
  0  48 6.691773e-01
  0  50 5.756597e-01
  0  52 5.839970e-01
  0  54 5.597207e-01
  0  56 5.678460e-01
  0  58 5.277157e-01
  0  60 5.458663e-01
  0  62 5.824337e-01
  0  64 5.479513e-01
  0  66 5.228697e-01
  0  68 5.491267e-01
  0  70 5.023577e-01
  0  72 5.031083e-01
  0  74 4.764030e-01
  0  76 4.477380e-01
  0  78 4.683097e-01
  0  80 4.881947e-01
  0  82 4.586033e-01
  0  84 4.059923e-01
  0  86 4.424200e-01
  0  88 4.682490e-01
  0  90 4.879583e-01
  0  92 4.477343e-01
  0  94 4.249117e-01
  0  96 3.771013e-01
  0  98 4.575860e-01
  0 100 6.710380e-01
  1   1 9.552213e+01
  1   3 5.255447e+00
  1   5 2.402083e+00
  1   7 2.126813e+00
  1   9 1.544010e+00
  1  11 1.353660e+00
  1  13 1.316083e+00
  1  15 1.122018e+00
  1  17 1.066863e+00
  1  19 1.019914e+00
  1  21 9.143457e-01
  1  23 8.943550e-01
  1  25 8.786347e-01
  1  27 7.806293e-01
  1  29 8.135030e-01
  1  31 7.903923e-01
  1  33 7.309267e-01
  1  35 7.637840e-01
  1  37 7.407947e-01
  1  39 6.270173e-01
  1  41 6.719580e-01
  1  43 7.245587e-01
  1  45 6.147117e-01
  1  47 6.086730e-01
  1  49 6.598860e-01
  1  51 6.190253e-01
  1  53 5.461563e-01
  1  55 5.869200e-01
  1  57 5.523040e-01
  1  59 5.669583e-01
  1  61 5.750073e-01
  1  63 5.810300e-01
  1  65 5.881220e-01
  1  67 5.448377e-01
  1  69 5.162623e-01
  1  71 5.258683e-01
  1  73 5.041600e-01
  1  75 4.712363e-01
  1  77 4.683367e-01
  1  79 5.026023e-01
  1  81 4.702647e-01
  1  83 4.392320e-01
  1  85 4.543650e-01
  1  87 4.321527e-01
  1  89 4.841530e-01
  1  91 4.652883e-01
  1  93 4.200253e-01
  1  95 3.535940e-01
  1  97 4.473663e-01
  1  99 6.838003e-01
  2   0 1.388679e+00
  2   2 9.534463e+01
  2   4 4.919533e+00
  2   6 2.256487e+00
  2   8 1.901930e+00
  2  10 1.567263e+00
  2  12 1.332143e+00
