# O+CO2(ji)->O+CO2(jf) molscat cross sections, CS8_JMAX100 approx. (written on 04/29/2019);
# E=32240.000000 (1/cm) = 3.99725052396 eV
# ji  jf sigma(ji,jf) (1e-16 cm^2)
  0   0 9.537043e+01
  0   2 7.122197e+00
  0   4 2.425683e+00
  0   6 2.366780e+00
  0   8 1.815027e+00
  0  10 1.367167e+00
  0  12 1.451610e+00
  0  14 1.265020e+00
  0  16 9.833513e-01
  0  18 1.141807e+00
  0  20 9.413810e-01
  0  22 8.675793e-01
  0  24 9.470743e-01
  0  26 8.876643e-01
  0  28 7.156070e-01
  0  30 8.368293e-01
  0  32 7.122917e-01
  0  34 7.104130e-01
  0  36 7.720023e-01
  0  38 6.672783e-01
  0  40 6.181543e-01
  0  42 7.370073e-01
  0  44 7.006323e-01
  0  46 5.844227e-01
  0  48 6.876883e-01
  0  50 5.792643e-01
  0  52 5.897620e-01
  0  54 5.541160e-01
  0  56 5.894647e-01
  0  58 5.371450e-01
  0  60 5.558893e-01
  0  62 5.829330e-01
  0  64 5.350577e-01
  0  66 5.488757e-01
  0  68 5.320007e-01
  0  70 5.172927e-01
  0  72 5.056883e-01
  0  74 4.564593e-01
  0  76 4.500803e-01
  0  78 4.274300e-01
  0  80 4.710583e-01
  0  82 4.659760e-01
  0  84 3.889307e-01
  0  86 4.398227e-01
  0  88 4.473487e-01
  0  90 4.757803e-01
  0  92 4.478863e-01
  0  94 4.315467e-01
  0  96 3.592190e-01
  0  98 4.395343e-01
  0 100 6.846533e-01
  1   1 9.826513e+01
  1   3 5.393670e+00
  1   5 2.456773e+00
  1   7 2.134633e+00
  1   9 1.559293e+00
  1  11 1.348380e+00
  1  13 1.323753e+00
  1  15 1.110127e+00
  1  17 1.089123e+00
  1  19 1.028960e+00
  1  21 9.183290e-01
  1  23 8.949623e-01
  1  25 8.986983e-01
  1  27 7.941877e-01
  1  29 8.118533e-01
  1  31 7.922177e-01
  1  33 7.072267e-01
  1  35 7.558977e-01
  1  37 7.322557e-01
  1  39 6.293083e-01
  1  41 6.589410e-01
  1  43 7.334960e-01
  1  45 6.247080e-01
  1  47 6.191327e-01
  1  49 6.726230e-01
  1  51 6.275657e-01
  1  53 5.624093e-01
  1  55 5.935420e-01
  1  57 5.777850e-01
  1  59 5.800000e-01
  1  61 5.700543e-01
  1  63 5.849770e-01
  1  65 6.056823e-01
  1  67 5.385887e-01
  1  69 5.245533e-01
  1  71 4.942373e-01
  1  73 5.065380e-01
  1  75 4.664657e-01
  1  77 4.640450e-01
  1  79 4.992287e-01
  1  81 4.672513e-01
  1  83 4.283587e-01
  1  85 4.478123e-01
  1  87 4.234850e-01
  1  89 4.653817e-01
  1  91 4.512920e-01
  1  93 4.232957e-01
  1  95 3.565460e-01
  1  97 4.317923e-01
  1  99 6.762633e-01
  2   0 1.424543e+00
