# O(3P)+CO2; file number index vs energy for DCSs (mgacesa, Apr 30 2018)
# index          E(eV)
1	0.029756207374384044
2	0.15374040476765088
3	0.27772460216091777
4	0.4017087995541846
5	0.5256929969474514
6	0.6496771943407182
7	0.7736613917339852
8	0.897645589127252
9	1.0216297865205188
10	1.1456139839137858
11	1.2695981813070525
12	1.3935823787003194
13	1.5175665760935861
14	1.641550773486853
15	1.76553497088012
16	1.8895191682733867
17	2.0135033656666534
18	2.1374875630599206
19	2.2614717604531873
20	2.385455957846454
21	2.509440155239721
22	2.633424352632988
23	2.7574085500262546
24	2.881392747419522
25	3.0053769448127885
26	3.129361142206055
27	3.253345339599322
28	3.377329536992589
29	3.501313734385856
30	3.6252979317791225
31	3.7492821291723897
32	3.8732663265656564
33	3.997250523958923
34	4.12123472135219
35	4.245218918745457
36	4.369203116138724
37	4.49318731353199
38	4.617171510925258
39	4.741155708318525
40	4.865139905711791
41	4.989124103105058
